Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007399~nervous system development	22	25.882352941176475	2.8315593220914527E-4	SYT1, GFAP, HAPLN4, KIF3A, NCDN, ENPP2, ENC1, VTN, CX3CL1, METRN, CBLN1, IFT20, RASGRF1, DGKG, BLOC1S1, MCPH1, BCL11A, TRIM32, RAPGEF4, SEPP1, S100A1, MT3	76	2261	17911	2.293128331665076	0.4506170832097669	0.4506170832097669	0.4888841815899547
GOTERM_BP_FAT	GO:0022008~neurogenesis	18	21.176470588235293	3.521319383972057E-4	SYT1, GFAP, KIF3A, NCDN, ENPP2, ENC1, VTN, CX3CL1, METRN, CBLN1, IFT20, RASGRF1, DGKG, BLOC1S1, BCL11A, TRIM32, RAPGEF4, MT3	76	1638	17911	2.589791787160208	0.5252135748023681	0.31095252326299605	0.6076334523649307
GOTERM_BP_FAT	GO:0048699~generation of neurons	17	20.0	4.862622637482179E-4	SYT1, GFAP, KIF3A, NCDN, ENPP2, ENC1, CX3CL1, METRN, CBLN1, IFT20, RASGRF1, DGKG, BLOC1S1, BCL11A, TRIM32, RAPGEF4, MT3	76	1526	17911	2.6254311236807615	0.6425267753858348	0.29028959465326487	0.8381704033366133
GOTERM_BP_FAT	GO:0048666~neuron development	14	16.470588235294116	5.534030441030774E-4	SYT1, GFAP, KIF3A, NCDN, ENC1, METRN, RASGRF1, IFT20, DGKG, BLOC1S1, BCL11A, TRIM32, RAPGEF4, MT3	76	1092	17911	3.0214237516869096	0.6898723904205891	0.2537486875874705	0.9533795391854616
GOTERM_BP_FAT	GO:0098916~anterograde trans-synaptic signaling	10	11.76470588235294	6.087486075708783E-4	EGR1, SYT1, GFAP, NCDN, RASGRF1, SLC6A13, RAPGEF4, SV2A, CX3CL1, VGF	76	570	17911	4.134579870729455	0.7241492573507264	0.2270794904707536	1.0482540211117164
GOTERM_BP_FAT	GO:0099536~synaptic signaling	10	11.76470588235294	6.087486075708783E-4	EGR1, SYT1, GFAP, NCDN, RASGRF1, SLC6A13, RAPGEF4, SV2A, CX3CL1, VGF	76	570	17911	4.134579870729455	0.7241492573507264	0.2270794904707536	1.0482540211117164
GOTERM_BP_FAT	GO:0007268~chemical synaptic transmission	10	11.76470588235294	6.087486075708783E-4	EGR1, SYT1, GFAP, NCDN, RASGRF1, SLC6A13, RAPGEF4, SV2A, CX3CL1, VGF	76	570	17911	4.134579870729455	0.7241492573507264	0.2270794904707536	1.0482540211117164
GOTERM_BP_FAT	GO:0099537~trans-synaptic signaling	10	11.76470588235294	6.087486075708783E-4	EGR1, SYT1, GFAP, NCDN, RASGRF1, SLC6A13, RAPGEF4, SV2A, CX3CL1, VGF	76	570	17911	4.134579870729455	0.7241492573507264	0.2270794904707536	1.0482540211117164
GOTERM_BP_FAT	GO:0051128~regulation of cellular component organization	22	25.882352941176475	6.341980042981425E-4	SYT1, GFAP, KIF3A, ENPP2, ENC1, VTN, MYADM, RPS3, FCGR3, CYBA, DNAJC15, CBLN1, METRN, PPM1E, IFT20, RPL13A, ITGB1BP1, TRIM32, MCPH1, BCL11A, RAPGEF4, MT3	76	2399	17911	2.161218490160374	0.7386132827641818	0.2003856383738679	1.091851145411371
GOTERM_BP_FAT	GO:0051272~positive regulation of cellular component movement	9	10.588235294117647	7.878961488481288E-4	EGR1, KIF3A, ENPP2, ITGB1BP1, TRIM32, VTN, RAPGEF4, CX3CL1, MYADM	76	472	17911	4.493727698483497	0.8111981402694497	0.21191633823502265	1.3547655332846187
GOTERM_BP_FAT	GO:0030182~neuron differentiation	15	17.647058823529413	0.0015771624157341173	SYT1, GFAP, KIF3A, NCDN, ENC1, METRN, CBLN1, IFT20, RASGRF1, DGKG, BLOC1S1, BCL11A, TRIM32, RAPGEF4, MT3	76	1379	17911	2.5634994847524903	0.9645038751458704	0.34117113586303927	2.6945350214739316
GOTERM_BP_FAT	GO:0030030~cell projection organization	15	17.647058823529413	0.0017233908590242766	SYT1, GFAP, KIF3A, NCDN, ENPP2, ENC1, ATP6V1D, METRN, RASGRF1, IFT20, BLOC1S1, BCL11A, TRIM32, RAPGEF4, MT3	76	1392	17911	2.539558756805808	0.973959861308135	0.33325408140631396	2.940865805230386
GOTERM_BP_FAT	GO:0048168~regulation of neuronal synaptic plasticity	4	4.705882352941177	0.002446081680384671	EGR1, NCDN, RASGRF1, VGF	76	64	17911	14.729440789473683	0.9943708703900311	0.404277333415607	4.149679357784564
GOTERM_BP_FAT	GO:0030335~positive regulation of cell migration	8	9.411764705882353	0.0026174435252297105	EGR1, ENPP2, ITGB1BP1, TRIM32, VTN, RAPGEF4, CX3CL1, MYADM	76	446	17911	4.227283455274958	0.9960858248703912	0.3958439707728971	4.43422097552435
GOTERM_BP_FAT	GO:0050804~modulation of synaptic transmission	7	8.235294117647058	0.002668774356361985	EGR1, SYT1, GFAP, NCDN, RASGRF1, RAPGEF4, VGF	76	332	17911	4.968967977171845	0.9964895220520485	0.3756225820154556	4.519299375371633
GOTERM_BP_FAT	GO:0022604~regulation of cell morphogenesis	9	10.588235294117647	0.002920800959449394	SYT1, METRN, KIF3A, IFT20, ENPP2, ITGB1BP1, BCL11A, MYADM, MT3	76	581	17911	3.650670350575233	0.9979430546776965	0.37866641854838734	4.935987054315416
GOTERM_BP_FAT	GO:0060284~regulation of cell development	12	14.117647058823529	0.0029951992833782757	SYT1, METRN, GFAP, ENPP2, ITGB1BP1, ENC1, BCL11A, TRIM32, RAPGEF4, CX3CL1, MYADM, MT3	76	1006	17911	2.8111855184681387	0.9982433602619404	0.3643886823202046	5.058665442396815
GOTERM_BP_FAT	GO:2000147~positive regulation of cell motility	8	9.411764705882353	0.0031445301425900895	EGR1, ENPP2, ITGB1BP1, TRIM32, VTN, RAPGEF4, CX3CL1, MYADM	76	461	17911	4.089736271263843	0.9987203387161211	0.358584177843403	5.304453060562697
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	11	12.941176470588237	0.003338748688398138	RPL19, MRPL14, RPL13A, GPX4, CHST8, ENC1, NDUFA7, RPS27L, MRPL33, RPS27A, RPS3	76	872	17911	2.9729146547561567	0.9991525409086646	0.35730130002039207	5.623225639271157
GOTERM_BP_FAT	GO:0040017~positive regulation of locomotion	8	9.411764705882353	0.003664125030384107	EGR1, ENPP2, ITGB1BP1, TRIM32, VTN, RAPGEF4, CX3CL1, MYADM	76	474	17911	3.9775705085498556	0.9995751850998464	0.3666280757657653	6.155003921239455
GOTERM_BP_FAT	GO:0022607~cellular component assembly	20	23.52941176470588	0.004311722576660745	SYT1, KIF3A, ENPP2, HIST1H2BF, HIST1H2BH, VTN, RPS27L, CX3CL1, ATP6V1D, MYADM, RPS3, CYBA, DNAJC15, HIST1H2BM, CBLN1, PPM1E, IFT20, RPL13A, ITGB1BP1, SNRPG	76	2418	17911	1.949305646249619	0.9998926063901674	0.39813539698952327	7.205013612534527
GOTERM_BP_FAT	GO:0023051~regulation of signaling	22	25.882352941176475	0.004640309301580408	EGR1, SYT1, GFAP, NCDN, WFS1, LY86, GPRASP1, CX3CL1, VGF, MYADM, RPS3, PJA2, CYBA, IFT20, RASGRF1, ITGB1BP1, PFDN5, TRIM32, RAPGEF4, NSF, DUSP7, MT3	76	2808	17911	1.8464256260308893	0.9999465677172128	0.40413542785923506	7.733538768607051
GOTERM_BP_FAT	GO:0031175~neuron projection development	11	12.941176470588237	0.004908502088983657	SYT1, METRN, GFAP, NCDN, RASGRF1, ENC1, BLOC1S1, BCL11A, TRIM32, RAPGEF4, MT3	76	921	17911	2.8147465569461114	0.9999697811411795	0.40568881612073737	8.162817878776995
GOTERM_BP_FAT	GO:0051960~regulation of nervous system development	11	12.941176470588237	0.004945731688776161	SYT1, METRN, GFAP, CBLN1, ENPP2, ENC1, BCL11A, TRIM32, RAPGEF4, CX3CL1, MT3	76	922	17911	2.811693686493892	0.9999720802114345	0.39306990522198393	8.222259963548439
GOTERM_BP_FAT	GO:0044085~cellular component biogenesis	21	24.705882352941178	0.005381283968187789	SYT1, KIF3A, ENPP2, HIST1H2BF, HIST1H2BH, VTN, RPS27L, CX3CL1, ATP6V1D, MYADM, RPS3, CYBA, DNAJC15, HIST1H2BM, CBLN1, PPM1E, IFT20, RPL13A, ITGB1BP1, NPM3, SNRPG	76	2654	17911	1.8647671835957644	0.9999889397085943	0.40472634524107765	8.914990539294653
GOTERM_BP_FAT	GO:0051130~positive regulation of cellular component organization	13	15.294117647058824	0.00561694466887588	SYT1, CYBA, METRN, CBLN1, PPM1E, KIF3A, ENPP2, ITGB1BP1, ENC1, VTN, MYADM, FCGR3, RPS3	76	1253	17911	2.4451106817322636	0.9999932994948322	0.40427180630819304	9.287743695654138
GOTERM_BP_FAT	GO:0048167~regulation of synaptic plasticity	5	5.88235294117647	0.005878471355450807	EGR1, GFAP, NCDN, RASGRF1, VGF	76	172	17911	6.850902692778457	0.9999961585251288	0.4052231134433856	9.699727267132552
GOTERM_BP_FAT	GO:0031344~regulation of cell projection organization	9	10.588235294117647	0.006374877426815557	SYT1, METRN, GFAP, IFT20, ENPP2, ENC1, BCL11A, RAPGEF4, MT3	76	662	17911	3.203987120368898	0.9999986642599664	0.4178580749447791	10.47687244949106
GOTERM_BP_FAT	GO:0014812~muscle cell migration	4	4.705882352941177	0.006382398870269013	EGR1, ITGB1BP1, VTN, RAPGEF4	76	90	17911	10.474269005847953	0.9999986854748525	0.4059830961651075	10.48859898357033
GOTERM_BP_FAT	GO:0050803~regulation of synapse structure or activity	6	7.0588235294117645	0.006382616703803216	EGR1, GFAP, CBLN1, NCDN, RASGRF1, VGF	76	280	17911	5.050093984962406	0.9999986860842268	0.3944232851929961	10.48893858196951
GOTERM_BP_FAT	GO:0007417~central nervous system development	11	12.941176470588237	0.006963544258337682	SYT1, GFAP, HAPLN4, CBLN1, KIF3A, ENPP2, MCPH1, VTN, SEPP1, S100A1, MT3	76	969	17911	2.6753163869425887	0.9999996185990265	0.41012004884609343	11.390288133793124
GOTERM_BP_FAT	GO:0050767~regulation of neurogenesis	10	11.76470588235294	0.0073244764568180624	SYT1, METRN, GFAP, ENPP2, ENC1, BCL11A, TRIM32, RAPGEF4, CX3CL1, MT3	76	824	17911	2.860085590189065	0.9999998232057085	0.4150024096690871	11.94598497216024
GOTERM_BP_FAT	GO:0051962~positive regulation of nervous system development	8	9.411764705882353	0.00883923566322108	SYT1, METRN, GFAP, CBLN1, ENPP2, ENC1, TRIM32, CX3CL1	76	559	17911	3.3727520949063177	0.999999993005196	0.46523966715315423	14.242523110444761
GOTERM_BP_FAT	GO:0010646~regulation of cell communication	21	24.705882352941178	0.009185923295021124	EGR1, SYT1, GFAP, NCDN, WFS1, LY86, GPRASP1, CX3CL1, VGF, MYADM, RPS3, PJA2, CYBA, IFT20, RASGRF1, ITGB1BP1, PFDN5, TRIM32, RAPGEF4, DUSP7, MT3	76	2785	17911	1.7770528205612777	0.9999999966623909	0.46720218573372596	14.760142841532032
