Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009725~response to hormone	26	13.612565445026178	9.37880605857197E-7	BMP4, RARRES2, PTPRE, LMO3, SNRPN, GABRB1, IGFBP7, FOXO1, IGF2, ASNS, TRH, PPARGC1A, CXCL12, BUD31, CTNNB1, ATP2B1, EP300, SORBS1, CASP9, PTK2B, RAP1B, H3F3B, CTSB, IGFBP2, SST, PIK3R1	183	822	17911	3.0957813144004356	0.0038827730449856324	0.0038827730449856324	0.0017497204703675884
GOTERM_BP_FAT	GO:0031589~cell-substrate adhesion	15	7.853403141361256	2.1723775326669033E-6	PIK3CB, ITGB5, GAS6, CTNNB1, RPL29, CORO1C, FBLN1, SORBS1, APOD, PTK2B, TIAM1, GSK3B, MYOC, RASA1, PIK3R1	183	297	17911	4.9431473201965	0.008970554119194785	0.00449538128605087	0.0040527674736834385
GOTERM_BP_FAT	GO:0032870~cellular response to hormone stimulus	20	10.471204188481675	3.374230438303054E-6	BMP4, RARRES2, PTPRE, LMO3, IGFBP7, FOXO1, ASNS, IGF2, TRH, PPARGC1A, BUD31, CTNNB1, ATP2B1, EP300, SORBS1, CASP9, RAP1B, CTSB, IGFBP2, PIK3R1	183	549	17911	3.5655488866991147	0.013898838203481367	0.004654577546008509	0.006294866372058561
GOTERM_BP_FAT	GO:0009719~response to endogenous stimulus	37	19.3717277486911	4.801485663530562E-6	WNT5A, RARRES2, LMO3, GABRB1, IGFBP7, LTBP4, FOXO1, ITGB5, ASNS, TRH, CXCL12, BUD31, CTNNB1, ATP2B1, CASP9, PDE1B, SORBS1, PTK2B, TIAM1, SLC22A6, PIK3R1, RASA1, BMP4, PTPRE, SNRPN, EEF2, IGF2, PPARGC1A, CDKN1C, MSX1, EP300, CSNK1E, H3F3B, RAP1B, CTSB, IGFBP2, SST	183	1608	17911	2.252083163417883	0.019719584857773254	0.004966777154732482	0.008957399432729662
GOTERM_BP_FAT	GO:0010646~regulation of cell communication	53	27.748691099476442	5.399101070076789E-6	KCNC4, LMO3, FOXO1, COPS8, CXCL12, BUD31, CTNNB1, RGL2, SEZ6L2, APOD, TIAM1, LBP, PPARGC1A, GTF2H2, MSX1, EP300, SIPA1L1, WNT5A, CPLX2, DCN, TRH, SEMA5A, RGS10, PTK2B, PLEKHG5, INPP5F, PIK3R1, RASA1, MYOC, BMP4, ERH, RAB8B, PTPRE, NCDN, PTPN5, YWHAB, IGF2, NPY1R, GAS6, SLC35C2, CDKN1C, DKK3, FBLN1, GRIA2, GRIA1, CSNK1E, EEF1E1, GSK3B, RAP1B, MAPK8IP1, IGFBP2, ST5, DUSP7	183	2785	17911	1.8625992092690153	0.02214661345832758	0.004469090102728113	0.010072226203816648
GOTERM_BP_FAT	GO:0023051~regulation of signaling	53	27.748691099476442	6.867085812963367E-6	KCNC4, LMO3, FOXO1, COPS8, CXCL12, BUD31, CTNNB1, RGL2, SEZ6L2, APOD, TIAM1, LBP, PPARGC1A, GTF2H2, MSX1, EP300, SIPA1L1, WNT5A, CPLX2, DCN, TRH, SEMA5A, RGS10, PTK2B, PLEKHG5, INPP5F, PIK3R1, RASA1, MYOC, BMP4, ERH, RAB8B, PTPRE, NCDN, PTPN5, YWHAB, IGF2, NPY1R, GAS6, SLC35C2, CDKN1C, DKK3, FBLN1, GRIA2, GRIA1, CSNK1E, EEF1E1, GSK3B, RAP1B, MAPK8IP1, IGFBP2, ST5, DUSP7	183	2808	17911	1.8473428767144615	0.028082903432126383	0.004736210242279326	0.012810640959937114
GOTERM_BP_FAT	GO:0051128~regulation of cellular component organization	47	24.60732984293194	1.1548809478307747E-5	CHMP2A, WNT5A, RAB5C, IGFBP7, DCN, CXCL12, CTNNB1, DSTN, SEMA5A, SORBS1, APOD, PTK2B, TIAM1, TBC1D5, INPP5F, MNS1, TAF9, LBP, MYOC, PIK3R1, RASA1, BMP4, INSM1, KIF3A, RAB8B, PTPN5, ENC1, FRMPD4, IGF2, VPS41, PPARGC1A, GAS6, CDKN1C, CORO1C, FBLN1, CBLN1, MSX1, EP300, CSNK1E, SIPA1L1, GSK3B, CCT8, H3F3B, RAP1B, IGFBP2, BIN1, SMARCA2	183	2399	17911	1.9175043335451702	0.04677541148878661	0.006820170396156677	0.02154356902158705
GOTERM_BP_FAT	GO:0007160~cell-matrix adhesion	11	5.7591623036649215	1.2330016181573985E-5	CORO1C, APOD, SORBS1, PTK2B, TIAM1, GSK3B, ITGB5, MYOC, PIK3R1, RASA1, CTNNB1	183	175	17911	6.152099921935987	0.04985932122786152	0.006372760083768303	0.023000701781494826
GOTERM_BP_FAT	GO:0071495~cellular response to endogenous stimulus	29	15.18324607329843	2.6396795395882123E-5	WNT5A, RARRES2, LMO3, GABRB1, IGFBP7, LTBP4, FOXO1, ITGB5, ASNS, TRH, BUD31, CTNNB1, ATP2B1, CASP9, SORBS1, PIK3R1, RASA1, BMP4, PTPRE, IGF2, EEF2, PPARGC1A, CDKN1C, MSX1, EP300, CSNK1E, RAP1B, CTSB, IGFBP2	183	1189	17911	2.387178461948554	0.10371367013133403	0.012092441886944139	0.04923508782508357
GOTERM_BP_FAT	GO:0001952~regulation of cell-matrix adhesion	8	4.18848167539267	4.5232532245220285E-5	CORO1C, APOD, PTK2B, PIK3CB, GSK3B, MYOC, PIK3R1, RASA1	183	93	17911	8.419296080850813	0.17107764332305186	0.018587951669264968	0.08435332415516195
