Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0030901~midbrain development	3	10.0	0.00702731182867756	MSX1, OTX2, YWHAQ	27	87	17911	22.874840357598977	0.9998266162063433	0.9998266162063433	10.8042318863534
GOTERM_BP_FAT	GO:1902745~positive regulation of lamellipodium organization	2	6.666666666666667	0.038490451492422834	ENPP2, AQP1	27	27	17911	49.13854595336077	1.0	0.9999999999658405	47.07932764261001
GOTERM_BP_FAT	GO:0007417~central nervous system development	5	16.666666666666664	0.049282531051310495	MSX1, ENPP2, OTX2, YWHAQ, AQP1	27	969	17911	3.422963727401292	1.0	0.9999999989631005	55.9296235286112
GOTERM_BP_FAT	GO:1902743~regulation of lamellipodium organization	2	6.666666666666667	0.05651089594182176	ENPP2, AQP1	27	40	17911	33.16851851851852	1.0	0.9999999824521085	61.05899764223128
GOTERM_BP_FAT	GO:0090596~sensory organ morphogenesis	3	10.0	0.06821674686197868	MSX1, OTX2, AQP1	27	296	17911	6.723348348348348	1.0	0.9999999709102761	68.19466407485751
GOTERM_BP_FAT	GO:0048562~embryonic organ morphogenesis	3	10.0	0.07893695959389897	MSX1, FOLR1, OTX2	27	322	17911	6.18046928916494	1.0	0.999999950884173	73.63544670494232
GOTERM_BP_FAT	GO:0008380~RNA splicing	3	10.0	0.087524926456398	NHP2L1, MBNL2, PABPC1	27	342	17911	5.819038336582196	1.0	0.9999998948937547	77.35042853130525
GOTERM_BP_FAT	GO:0001667~ameboidal-type cell migration	3	10.0	0.08883716368581429	FOLR1, ENPP2, AQP1	27	345	17911	5.768438003220612	1.0	0.9999993719623707	77.87279168496646
GOTERM_BP_FAT	GO:0007420~brain development	4	13.333333333333334	0.09179694667110017	MSX1, OTX2, YWHAQ, AQP1	27	745	17911	3.561720109371116	1.0	0.9999980307679879	79.00978490110654
GOTERM_BP_FAT	GO:0006928~movement of cell or subcellular component	6	20.0	0.09862818995451453	FOLR1, ENPP2, OTX2, LBP, AQP1, KPNB1	27	1724	17911	2.3087135859757666	1.0	0.9999971012703489	81.42818189015702
GOTERM_BP_FAT	GO:0007399~nervous system development	7	23.333333333333332	0.10063462811985083	MSX1, FOLR1, ENPP2, OTX2, YWHAQ, CUL4B, AQP1	27	2261	17911	2.053778236440775	1.0	0.9999927955533665	82.08720954807214
GOTERM_BP_FAT	GO:0034644~cellular response to UV	2	6.666666666666667	0.10080851027649378	CUL4B, AQP1	27	73	17911	18.17453069507864	1.0	0.9999810529952449	82.14327677664357
GOTERM_BP_FAT	GO:0097581~lamellipodium organization	2	6.666666666666667	0.10473488530028971	ENPP2, AQP1	27	76	17911	17.457115009746587	1.0	0.9999710745540369	83.36631839070405
GOTERM_BP_FAT	GO:0060322~head development	4	13.333333333333334	0.10523798463128516	MSX1, OTX2, YWHAQ, AQP1	27	791	17911	3.3545910006086994	1.0	0.9999419153625974	83.51722233507584
GOTERM_BP_FAT	GO:0009605~response to external stimulus	7	23.333333333333332	0.10741104769233963	FOLR1, ENPP2, OTX2, LBP, DEFB11, AQP1, IGFBP2	27	2301	17911	2.0180758768329388	1.0	0.9999087982039906	84.15439336542893
GOTERM_BP_FAT	GO:0001101~response to acid chemical	3	10.0	0.10920804753147874	FOLR1, AQP1, IGFBP2	27	390	17911	5.102849002849003	1.0	0.9998602570630291	84.66376269890733
GOTERM_BP_FAT	GO:0021536~diencephalon development	2	6.666666666666667	0.11641534735210088	MSX1, OTX2	27	85	17911	15.608714596949891	1.0	0.9998690153800537	86.55635283766271
GOTERM_BP_FAT	GO:0030900~forebrain development	3	10.0	0.12007053068639682	MSX1, OTX2, AQP1	27	413	17911	4.8186709712133435	1.0	0.9998377780026781	87.4301910454585
GOTERM_BP_FAT	GO:0071482~cellular response to light stimulus	2	6.666666666666667	0.12155949940480892	CUL4B, AQP1	27	89	17911	14.907199334165625	1.0	0.9997698344323334	87.77063908719781
GOTERM_BP_FAT	GO:0006821~chloride transport	2	6.666666666666667	0.12284103082907312	CLIC6, SLC4A2	27	90	17911	14.74156378600823	1.0	0.9996801044916253	88.056709844416
GOTERM_BP_FAT	GO:0006397~mRNA processing	3	10.0	0.12439508452890922	NHP2L1, MBNL2, PABPC1	27	422	17911	4.7159031068983674	1.0	0.9995769392014692	88.39519079250363
GOTERM_BP_FAT	GO:0048709~oligodendrocyte differentiation	2	6.666666666666667	0.1304925505653318	ENPP2, OTX2	27	96	17911	13.820216049382715	1.0	0.9995922946441937	89.638248168433
GOTERM_BP_FAT	GO:0030335~positive regulation of cell migration	3	10.0	0.13611380928301442	ENPP2, LBP, AQP1	27	446	17911	4.462132536123567	1.0	0.9995951153130698	90.6725145712446
GOTERM_BP_FAT	GO:0044248~cellular catabolic process	5	16.666666666666664	0.13769430168301783	ENPP2, SKIV2L, PABPC1, CUL4B, HADHB	27	1387	17911	2.391385617773505	1.0	0.9994894939027157	90.94537000929512
GOTERM_BP_FAT	GO:0030030~cell projection organization	5	16.666666666666664	0.13901356552060312	FOLR1, ENPP2, OTX2, CUL4B, AQP1	27	1392	17911	2.3827958705832266	1.0	0.9993587628267265	91.1673735154474
GOTERM_BP_FAT	GO:0010634~positive regulation of epithelial cell migration	2	6.666666666666667	0.14184961847771174	ENPP2, AQP1	27	105	17911	12.635626102292768	1.0	0.9992719716819731	91.62744525604458
GOTERM_BP_FAT	GO:2000147~positive regulation of cell motility	3	10.0	0.1435655080395038	ENPP2, LBP, AQP1	27	461	17911	4.3169438418896116	1.0	0.9991313792167612	91.89478066594428
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	4	13.333333333333334	0.14507273301381815	ENPP2, PQLC3, HADHB, RDH5	27	915	17911	2.899979761181947	1.0	0.9989657921606575	92.12297775961088
GOTERM_BP_FAT	GO:0051272~positive regulation of cellular component movement	3	10.0	0.14908733607147412	ENPP2, LBP, AQP1	27	472	17911	4.216337099811676	1.0	0.9989260306876254	92.70173562376907
GOTERM_BP_FAT	GO:0043627~response to estrogen	2	6.666666666666667	0.14934160887731704	AQP1, IGFBP2	27	111	17911	11.952619285952618	1.0	0.9986675657363615	92.73701437472867
GOTERM_BP_FAT	GO:0040017~positive regulation of locomotion	3	10.0	0.1500962581182395	ENPP2, LBP, AQP1	27	474	17911	4.198546647913736	1.0	0.9984073131364729	92.84077736891408
GOTERM_BP_FAT	GO:0007389~pattern specification process	3	10.0	0.1500962581182395	MSX1, FOLR1, OTX2	27	474	17911	4.198546647913736	1.0	0.9984073131364729	92.84077736891408
GOTERM_BP_FAT	GO:0032526~response to retinoic acid	2	6.666666666666667	0.1580027843833007	AQP1, IGFBP2	27	118	17911	11.243565599497803	1.0	0.9986391934256833	93.8474439806211
GOTERM_BP_FAT	GO:0048568~embryonic organ development	3	10.0	0.1602644312603557	MSX1, FOLR1, OTX2	27	494	17911	4.028565002249213	1.0	0.9984962233423524	94.1099772292781
GOTERM_BP_FAT	GO:0015698~inorganic anion transport	2	6.666666666666667	0.160461790413938	CLIC6, SLC4A2	27	120	17911	11.056172839506171	1.0	0.9981948205150839	94.13238099541637
GOTERM_BP_FAT	GO:0071407~cellular response to organic cyclic compound	3	10.0	0.1736790444565988	MSX1, FOLR1, AQP1	27	520	17911	3.827136752136752	1.0	0.998760903022356	95.46344468477284
GOTERM_BP_FAT	GO:0042471~ear morphogenesis	2	6.666666666666667	0.1750714515171782	MSX1, OTX2	27	132	17911	10.051066217732885	1.0	0.998591138608225	95.58580805199112
GOTERM_BP_FAT	GO:0055085~transmembrane transport	4	13.333333333333334	0.17533114382208248	SLC16A9, CLIC6, YWHAQ, AQP1	27	1001	17911	2.6508306508306507	1.0	0.9983351021435484	95.60828409611595
GOTERM_BP_FAT	GO:0071417~cellular response to organonitrogen compound	3	10.0	0.17576060751728256	MSX1, FOLR1, AQP1	27	524	17911	3.797921967769296	1.0	0.9980626937848947	95.64521816419169
GOTERM_BP_FAT	GO:0014070~response to organic cyclic compound	4	13.333333333333334	0.17678319682882793	MSX1, FOLR1, AQP1, IGFBP2	27	1005	17911	2.6402800810761007	1.0	0.9978133398752355	95.73199147304706
GOTERM_BP_FAT	GO:0040011~locomotion	5	16.666666666666664	0.17717049604551377	FOLR1, ENPP2, OTX2, LBP, AQP1	27	1529	17911	2.169294867136594	1.0	0.9974880408699024	95.76443064259522
GOTERM_BP_FAT	GO:0009411~response to UV	2	6.666666666666667	0.17748250519873596	CUL4B, AQP1	27	134	17911	9.901050304035378	1.0	0.9971259548669356	95.79039530234235
GOTERM_BP_FAT	GO:0016071~mRNA metabolic process	3	10.0	0.17784657932655218	NHP2L1, MBNL2, PABPC1	27	528	17911	3.7691498316498313	1.0	0.9967387517664755	95.82050385819498
GOTERM_BP_FAT	GO:1903311~regulation of mRNA metabolic process	2	6.666666666666667	0.1798867822696728	MBNL2, PABPC1	27	136	17911	9.75544662309368	1.0	0.9965294661071834	95.98552187273002
GOTERM_BP_FAT	GO:0006935~chemotaxis	3	10.0	0.18203129252715886	ENPP2, OTX2, LBP	27	536	17911	3.712893864013267	1.0	0.9963308933729188	96.15237405671544
GOTERM_BP_FAT	GO:0042330~taxis	3	10.0	0.18308004879603082	ENPP2, OTX2, LBP	27	538	17911	3.699091284593143	1.0	0.995986934872201	96.23158146875164
GOTERM_BP_FAT	GO:0022603~regulation of anatomical structure morphogenesis	4	13.333333333333334	0.18704809064295774	MSX1, ENPP2, OTX2, AQP1	27	1033	17911	2.5687139220537087	1.0	0.9960269625216553	96.51763586269801
GOTERM_BP_FAT	GO:0071478~cellular response to radiation	2	6.666666666666667	0.1882486497439154	CUL4B, AQP1	27	143	17911	9.277907277907277	1.0	0.9957003263500784	96.60008509826255
GOTERM_BP_FAT	GO:0009887~organ morphogenesis	4	13.333333333333334	0.18889900413193192	MSX1, FOLR1, OTX2, AQP1	27	1038	17911	2.5563405409262825	1.0	0.9952811763842967	96.64398019248333
GOTERM_BP_FAT	GO:0006401~RNA catabolic process	2	6.666666666666667	0.19298998894010672	SKIV2L, PABPC1	27	147	17911	9.025447215923407	1.0	0.995362629816521	96.90813596347535
GOTERM_BP_FAT	GO:0072359~circulatory system development	4	13.333333333333334	0.19785490157686317	MSX1, FOLR1, ENPP2, AQP1	27	1062	17911	2.4985701332217336	1.0	0.9955490567164967	97.19685845779779
GOTERM_BP_FAT	GO:0072358~cardiovascular system development	4	13.333333333333334	0.19785490157686317	MSX1, FOLR1, ENPP2, AQP1	27	1062	17911	2.4985701332217336	1.0	0.9955490567164967	97.19685845779779
GOTERM_BP_FAT	GO:0051384~response to glucocorticoid	2	6.666666666666667	0.21284527153686203	AQP1, IGFBP2	27	164	17911	8.08988256549232	1.0	0.9968573902151063	97.93550382731298
GOTERM_BP_FAT	GO:0006605~protein targeting	3	10.0	0.21655969946180417	FOLR1, YWHAQ, KPNB1	27	601	17911	3.3113329635792192	1.0	0.9968601510716024	98.08790633793318
GOTERM_BP_FAT	GO:1901699~cellular response to nitrogen compound	3	10.0	0.21978523142028927	MSX1, FOLR1, AQP1	27	607	17911	3.278601501006773	1.0	0.9968185684716739	98.21162119685494
GOTERM_BP_FAT	GO:1901700~response to oxygen-containing compound	5	16.666666666666664	0.21997470211320602	EEF1B2, FOLR1, LBP, AQP1, IGFBP2	27	1670	17911	1.9861388334442227	1.0	0.9964805755565868	98.21864950678078
GOTERM_BP_FAT	GO:0007423~sensory organ development	3	10.0	0.22032331993180285	MSX1, OTX2, AQP1	27	608	17911	3.2732090643274847	1.0	0.9961385842524048	98.2315136250012
GOTERM_BP_FAT	GO:0014031~mesenchymal cell development	2	6.666666666666667	0.22316586250166198	MSX1, FOLR1	27	173	17911	7.669021622778847	1.0	0.9960639886743841	98.33319867517665
